"['2/14/06', '0.021427', '0', '0.031836', '0.014383', '0.010012', '0.0023003', '0.0045004', '0.044768', '0.36642', '0.0045367', '0', '0.067684', '0.16805', '0', '0', '0', '0.011227', '0.2313', '0.0069313', '0.014622']"
"['6/20/06', '0.021413', '0', '0.031783', '0.014401', '0.010065', '0.0023044', '0.0044982', '0.044723', '0.36582', '0.0045316', '0', '0.068162', '0.16825', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/20/06', '0.021413', '0', '0.031783', '0.014401', '0.010065', '0.0023044', '0.0044982', '0.044723', '0.36582', '0.0045316', '0', '0.068162', '0.16825', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/21/06', '0.021413', '0', '0.031783', '0.014401', '0.010065', '0.0023045', '0.0044981', '0.044722', '0.36581', '0.0045316', '0', '0.068166', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/21/06', '0.021413', '0', '0.031783', '0.014401', '0.010065', '0.0023045', '0.0044981', '0.044722', '0.36581', '0.0045316', '0', '0.068166', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/21/06', '0.021413', '0', '0.031783', '0.014401', '0.010065', '0.0023045', '0.0044981', '0.044722', '0.36581', '0.0045316', '0', '0.068166', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/22/06', '0.021413', '0', '0.031782', '0.014402', '0.010065', '0.0023045', '0.0044981', '0.044722', '0.36581', '0.0045315', '0', '0.068169', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/22/06', '0.021413', '0', '0.031782', '0.014402', '0.010065', '0.0023045', '0.0044981', '0.044722', '0.36581', '0.0045315', '0', '0.068169', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/22/06', '0.021413', '0', '0.031782', '0.014402', '0.010065', '0.0023045', '0.0044981', '0.044722', '0.36581', '0.0045315', '0', '0.068169', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/25/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068181', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/26/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068185', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['6/26/06', '0.021412', '0', '0.031781', '0.014402', '0.010067', '0.0023046', '0.0044981', '0.044721', '0.36579', '0.0045314', '0', '0.068185', '0.16826', '0', '0', '0', '0.01122', '0.23128', '0.0069311', '0.014622']"
"['7/5/06', '0.021411', '0', '0.031777', '0.014403', '0.010071', '0.0023049', '0.0044979', '0.044717', '0.36574', '0.004531', '0', '0.068219', '0.16828', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/5/06', '0.021411', '0', '0.031777', '0.014403', '0.010071', '0.0023049', '0.0044979', '0.044717', '0.36574', '0.004531', '0', '0.068219', '0.16828', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/5/06', '0.021411', '0', '0.031777', '0.014403', '0.010071', '0.0023049', '0.0044979', '0.044717', '0.36574', '0.004531', '0', '0.068219', '0.16828', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/5/06', '0.021411', '0', '0.031777', '0.014403', '0.010071', '0.0023049', '0.0044979', '0.044717', '0.36574', '0.004531', '0', '0.068219', '0.16828', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/10/06', '0.021411', '0', '0.031775', '0.014404', '0.010073', '0.0023051', '0.0044978', '0.044716', '0.36572', '0.0045308', '0', '0.068238', '0.16829', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/11/06', '0.021411', '0', '0.031774', '0.014404', '0.010073', '0.0023051', '0.0044978', '0.044715', '0.36571', '0.0045308', '0', '0.068241', '0.16829', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/11/06', '0.021411', '0', '0.031774', '0.014404', '0.010073', '0.0023051', '0.0044978', '0.044715', '0.36571', '0.0045308', '0', '0.068241', '0.16829', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/11/06', '0.021411', '0', '0.031774', '0.014404', '0.010073', '0.0023051', '0.0044978', '0.044715', '0.36571', '0.0045308', '0', '0.068241', '0.16829', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/11/06', '0.021411', '0', '0.031774', '0.014404', '0.010073', '0.0023051', '0.0044978', '0.044715', '0.36571', '0.0045308', '0', '0.068241', '0.16829', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/12/06', '0.02141', '0', '0.031774', '0.014404', '0.010074', '0.0023052', '0.0044978', '0.044715', '0.36571', '0.0045307', '0', '0.068245', '0.16829', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/12/06', '0.02141', '0', '0.031774', '0.014404', '0.010074', '0.0023052', '0.0044978', '0.044715', '0.36571', '0.0045307', '0', '0.068245', '0.16829', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/17/06', '0.02141', '0', '0.031772', '0.014405', '0.010076', '0.0023053', '0.0044977', '0.044713', '0.36568', '0.0045305', '0', '0.068264', '0.1683', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/18/06', '0.02141', '0', '0.031771', '0.014405', '0.010076', '0.0023053', '0.0044977', '0.044713', '0.36568', '0.0045305', '0', '0.068268', '0.1683', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/22/06', '0.021409', '0', '0.03177', '0.014406', '0.010078', '0.0023055', '0.0044976', '0.044711', '0.36566', '0.0045303', '0', '0.068283', '0.16831', '0', '0', '0', '0.011219', '0.23127', '0.0069311', '0.014622']"
"['7/25/06', '0.021409', '0', '0.031768', '0.014406', '0.010079', '0.0023056', '0.0044975', '0.04471', '0.36565', '0.0045302', '0', '0.068295', '0.16831', '0', '0', '0', '0.011218', '0.23127', '0.0069311', '0.014622']"
"['7/26/06', '0.021409', '0', '0.031768', '0.014406', '0.01008', '0.0023056', '0.0044975', '0.04471', '0.36564', '0.0045302', '0', '0.068298', '0.16831', '0', '0', '0', '0.011218', '0.23127', '0.0069311', '0.014622']"
"['7/26/06', '0.021409', '0', '0.031768', '0.014406', '0.01008', '0.0023056', '0.0044975', '0.04471', '0.36564', '0.0045302', '0', '0.068298', '0.16831', '0', '0', '0', '0.011218', '0.23127', '0.0069311', '0.014622']"
"['7/27/06', '0.021409', '0', '0.031768', '0.014406', '0.01008', '0.0023056', '0.0044975', '0.04471', '0.36564', '0.0045301', '0', '0.068302', '0.16831', '0', '0', '0', '0.011218', '0.23127', '0.0069311', '0.014622']"
"['8/2/06', '0.021408', '0', '0.031765', '0.014407', '0.010083', '0.0023058', '0.0044974', '0.044707', '0.36561', '0.0045299', '0', '0.068325', '0.16832', '0', '0', '0', '0.011218', '0.23127', '0.006931', '0.014622']"
"['8/4/06', '0.021408', '0', '0.031764', '0.014408', '0.010083', '0.0023059', '0.0044974', '0.044707', '0.3656', '0.0045298', '0', '0.068333', '0.16833', '0', '0', '0', '0.011218', '0.23127', '0.006931', '0.014622']"
"['8/6/06', '0.021408', '0', '0.031763', '0.014408', '0.010084', '0.002306', '0.0044973', '0.044706', '0.36559', '0.0045297', '0', '0.06834', '0.16833', '0', '0', '0', '0.011218', '0.23127', '0.006931', '0.014622']"
"['8/7/06', '0.021407', '0', '0.031763', '0.014408', '0.010085', '0.002306', '0.0044973', '0.044706', '0.36558', '0.0045297', '0', '0.068344', '0.16833', '0', '0', '0', '0.011218', '0.23127', '0.006931', '0.014622']"
"['8/10/06', '0.021407', '0', '0.031762', '0.014408', '0.010086', '0.0023061', '0.0044972', '0.044705', '0.36557', '0.0045296', '0', '0.068355', '0.16834', '0', '0', '0', '0.011218', '0.23127', '0.006931', '0.014622']"
"['8/10/06', '0.021407', '0', '0.031762', '0.014408', '0.010086', '0.0023061', '0.0044972', '0.044705', '0.36557', '0.0045296', '0', '0.068355', '0.16834', '0', '0', '0', '0.011218', '0.23127', '0.006931', '0.014622']"
"['8/11/06', '0.021407', '0', '0.031761', '0.014409', '0.010086', '0.0023061', '0.0044972', '0.044704', '0.36556', '0.0045295', '0', '0.068359', '0.16834', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/13/06', '0.021407', '0', '0.031761', '0.014409', '0.010087', '0.0023062', '0.0044972', '0.044703', '0.36555', '0.0045294', '0', '0.068367', '0.16834', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/13/06', '0.021407', '0', '0.031761', '0.014409', '0.010087', '0.0023062', '0.0044972', '0.044703', '0.36555', '0.0045294', '0', '0.068367', '0.16834', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/14/06', '0.021407', '0', '0.03176', '0.014409', '0.010088', '0.0023062', '0.0044972', '0.044703', '0.36555', '0.0045294', '0', '0.06837', '0.16834', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/14/06', '0.021407', '0', '0.03176', '0.014409', '0.010088', '0.0023062', '0.0044972', '0.044703', '0.36555', '0.0045294', '0', '0.06837', '0.16834', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/18/06', '0.021406', '0', '0.031758', '0.01441', '0.010089', '0.0023064', '0.0044971', '0.044702', '0.36553', '0.0045292', '0', '0.068386', '0.16835', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/24/06', '0.021406', '0', '0.031756', '0.01441', '0.010092', '0.0023066', '0.004497', '0.0447', '0.3655', '0.004529', '0', '0.068408', '0.16836', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/24/06', '0.021406', '0', '0.031756', '0.01441', '0.010092', '0.0023066', '0.004497', '0.0447', '0.3655', '0.004529', '0', '0.068408', '0.16836', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/24/06', '0.021406', '0', '0.031756', '0.01441', '0.010092', '0.0023066', '0.004497', '0.0447', '0.3655', '0.004529', '0', '0.068408', '0.16836', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/27/06', '0.021405', '0', '0.031755', '0.014411', '0.010093', '0.0023067', '0.0044969', '0.044698', '0.36549', '0.0045289', '0', '0.06842', '0.16836', '0', '0', '0', '0.011217', '0.23127', '0.006931', '0.014622']"
"['8/29/06', '0.021405', '0', '0.031754', '0.014411', '0.010094', '0.0023067', '0.0044969', '0.044698', '0.36548', '0.0045288', '0', '0.068427', '0.16837', '0', '0', '0', '0.011216', '0.23127', '0.006931', '0.014622']"
"['8/29/06', '0.021405', '0', '0.031754', '0.014411', '0.010094', '0.0023067', '0.0044969', '0.044698', '0.36548', '0.0045288', '0', '0.068427', '0.16837', '0', '0', '0', '0.011216', '0.23127', '0.006931', '0.014622']"
"['8/30/06', '0.021405', '0', '0.031753', '0.014411', '0.010094', '0.0023068', '0.0044969', '0.044697', '0.36547', '0.0045288', '0', '0.068431', '0.16837', '0', '0', '0', '0.011216', '0.23127', '0.006931', '0.014622']"
"['9/3/06', '0.021404', '0', '0.031752', '0.014412', '0.010096', '0.0023069', '0.0044968', '0.044696', '0.36545', '0.0045286', '0', '0.068446', '0.16837', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/3/06', '0.021404', '0', '0.031752', '0.014412', '0.010096', '0.0023069', '0.0044968', '0.044696', '0.36545', '0.0045286', '0', '0.068446', '0.16837', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/4/06', '0.021404', '0', '0.031751', '0.014412', '0.010096', '0.0023069', '0.0044968', '0.044696', '0.36545', '0.0045285', '0', '0.06845', '0.16838', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/5/06', '0.021404', '0', '0.031751', '0.014412', '0.010097', '0.002307', '0.0044968', '0.044695', '0.36544', '0.0045285', '0', '0.068454', '0.16838', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/5/06', '0.021404', '0', '0.031751', '0.014412', '0.010097', '0.002307', '0.0044968', '0.044695', '0.36544', '0.0045285', '0', '0.068454', '0.16838', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/9/06', '0.021404', '0', '0.031749', '0.014413', '0.010099', '0.0023071', '0.0044967', '0.044694', '0.36542', '0.0045283', '0', '0.068469', '0.16838', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/10/06', '0.021404', '0', '0.031749', '0.014413', '0.010099', '0.0023071', '0.0044967', '0.044693', '0.36542', '0.0045283', '0', '0.068473', '0.16839', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/10/06', '0.021404', '0', '0.031749', '0.014413', '0.010099', '0.0023071', '0.0044967', '0.044693', '0.36542', '0.0045283', '0', '0.068473', '0.16839', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/12/06', '0.021403', '0', '0.031748', '0.014413', '0.0101', '0.0023072', '0.0044967', '0.044693', '0.36541', '0.0045282', '0', '0.068481', '0.16839', '0', '0', '0', '0.011216', '0.23126', '0.006931', '0.014622']"
"['9/17/06', '0.021403', '0', '0.031746', '0.014414', '0.010102', '0.0023073', '0.0044966', '0.044691', '0.36539', '0.004528', '0', '0.0685', '0.1684', '0', '0', '0', '0.011215', '0.23126', '0.006931', '0.014622']"
"['9/17/06', '0.021403', '0', '0.031746', '0.014414', '0.010102', '0.0023073', '0.0044966', '0.044691', '0.36539', '0.004528', '0', '0.0685', '0.1684', '0', '0', '0', '0.011215', '0.23126', '0.006931', '0.014622']"
"['9/18/06', '0.021403', '0', '0.031746', '0.014414', '0.010102', '0.0023074', '0.0044965', '0.044691', '0.36538', '0.004528', '0', '0.068503', '0.1684', '0', '0', '0', '0.011215', '0.23126', '0.006931', '0.014622']"
"['9/19/06', '0.021403', '0', '0.031745', '0.014414', '0.010103', '0.0023074', '0.0044965', '0.04469', '0.36538', '0.0045279', '0', '0.068507', '0.1684', '0', '0', '0', '0.011215', '0.23126', '0.006931', '0.014622']"
"['9/19/06', '0.021403', '0', '0.031745', '0.014414', '0.010103', '0.0023074', '0.0044965', '0.04469', '0.36538', '0.0045279', '0', '0.068507', '0.1684', '0', '0', '0', '0.011215', '0.23126', '0.006931', '0.014622']"
"['9/21/06', '0.021402', '0', '0.031744', '0.014414', '0.010104', '0.0023075', '0.0044965', '0.044689', '0.36537', '0.0045279', '0', '0.068515', '0.1684', '0', '0', '0', '0.011215', '0.23126', '0.006931', '0.014622']"
"['9/23/06', '0.021402', '0', '0.031743', '0.014415', '0.010104', '0.0023075', '0.0044965', '0.044689', '0.36536', '0.0045278', '0', '0.068522', '0.16841', '0', '0', '0', '0.011215', '0.23126', '0.0069309', '0.014622']"
"['9/23/06', '0.021402', '0', '0.031743', '0.014415', '0.010104', '0.0023075', '0.0044965', '0.044689', '0.36536', '0.0045278', '0', '0.068522', '0.16841', '0', '0', '0', '0.011215', '0.23126', '0.0069309', '0.014622']"
"['9/26/06', '0.021402', '0', '0.031742', '0.014415', '0.010106', '0.0023076', '0.0044964', '0.044688', '0.36534', '0.0045277', '0', '0.068534', '0.16841', '0', '0', '0', '0.011215', '0.23126', '0.0069309', '0.014622']"
"['9/26/06', '0.021402', '0', '0.031742', '0.014415', '0.010106', '0.0023076', '0.0044964', '0.044688', '0.36534', '0.0045277', '0', '0.068534', '0.16841', '0', '0', '0', '0.011215', '0.23126', '0.0069309', '0.014622']"
"['9/27/06', '0.021402', '0', '0.031742', '0.014415', '0.010106', '0.0023077', '0.0044964', '0.044687', '0.36534', '0.0045276', '0', '0.068537', '0.16841', '0', '0', '0', '0.011215', '0.23126', '0.0069309', '0.014622']"
"['9/27/06', '0.021402', '0', '0.031742', '0.014415', '0.010106', '0.0023077', '0.0044964', '0.044687', '0.36534', '0.0045276', '0', '0.068537', '0.16841', '0', '0', '0', '0.011215', '0.23126', '0.0069309', '0.014622']"
"['10/3/06', '0.021401', '0', '0.031739', '0.014416', '0.010109', '0.0023079', '0.0044963', '0.044685', '0.36531', '0.0045274', '0', '0.06856', '0.16842', '0', '0', '0', '0.011215', '0.23126', '0.0069309', '0.014622']"
"['10/8/06', '0.0214', '0', '0.031737', '0.014417', '0.010111', '0.002308', '0.0044962', '0.044683', '0.36528', '0.0045272', '0', '0.068579', '0.16843', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/8/06', '0.0214', '0', '0.031737', '0.014417', '0.010111', '0.002308', '0.0044962', '0.044683', '0.36528', '0.0045272', '0', '0.068579', '0.16843', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/8/06', '0.0214', '0', '0.031737', '0.014417', '0.010111', '0.002308', '0.0044962', '0.044683', '0.36528', '0.0045272', '0', '0.068579', '0.16843', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/8/06', '0.0214', '0', '0.031737', '0.014417', '0.010111', '0.002308', '0.0044962', '0.044683', '0.36528', '0.0045272', '0', '0.068579', '0.16843', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/10/06', '0.0214', '0', '0.031736', '0.014417', '0.010112', '0.0023081', '0.0044961', '0.044683', '0.36527', '0.0045271', '0', '0.068587', '0.16843', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/13/06', '0.0214', '0', '0.031735', '0.014418', '0.010113', '0.0023082', '0.0044961', '0.044682', '0.36526', '0.004527', '0', '0.068598', '0.16844', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/14/06', '0.0214', '0', '0.031735', '0.014418', '0.010113', '0.0023082', '0.0044961', '0.044681', '0.36525', '0.0045269', '0', '0.068602', '0.16844', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/15/06', '0.0214', '0', '0.031734', '0.014418', '0.010114', '0.0023083', '0.0044961', '0.044681', '0.36525', '0.0045269', '0', '0.068606', '0.16844', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/18/06', '0.021399', '0', '0.031733', '0.014418', '0.010115', '0.0023084', '0.004496', '0.04468', '0.36524', '0.0045268', '0', '0.068617', '0.16845', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/18/06', '0.021399', '0', '0.031733', '0.014418', '0.010115', '0.0023084', '0.004496', '0.04468', '0.36524', '0.0045268', '0', '0.068617', '0.16845', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/20/06', '0.021399', '0', '0.031732', '0.014419', '0.010116', '0.0023084', '0.004496', '0.044679', '0.36523', '0.0045267', '0', '0.068625', '0.16845', '0', '0', '0', '0.011214', '0.23126', '0.0069309', '0.014622']"
"['10/24/06', '0.021399', '0', '0.03173', '0.014419', '0.010117', '0.0023086', '0.0044959', '0.044678', '0.36521', '0.0045265', '0', '0.06864', '0.16846', '0', '0', '0', '0.011213', '0.23126', '0.0069309', '0.014622']"
"['10/24/06', '0.021399', '0', '0.03173', '0.014419', '0.010117', '0.0023086', '0.0044959', '0.044678', '0.36521', '0.0045265', '0', '0.06864', '0.16846', '0', '0', '0', '0.011213', '0.23126', '0.0069309', '0.014622']"
"['10/25/06', '0.021398', '0', '0.03173', '0.014419', '0.010118', '0.0023086', '0.0044959', '0.044677', '0.3652', '0.0045265', '0', '0.068644', '0.16846', '0', '0', '0', '0.011213', '0.23126', '0.0069309', '0.014622']"
"['10/25/06', '0.021398', '0', '0.03173', '0.014419', '0.010118', '0.0023086', '0.0044959', '0.044677', '0.3652', '0.0045265', '0', '0.068644', '0.16846', '0', '0', '0', '0.011213', '0.23126', '0.0069309', '0.014622']"
"['10/26/06', '0.021398', '0', '0.03173', '0.014419', '0.010118', '0.0023086', '0.0044959', '0.044677', '0.3652', '0.0045264', '0', '0.068648', '0.16846', '0', '0', '0', '0.011213', '0.23126', '0.0069309', '0.014622']"
"['10/26/06', '0.021398', '0', '0.03173', '0.014419', '0.010118', '0.0023086', '0.0044959', '0.044677', '0.3652', '0.0045264', '0', '0.068648', '0.16846', '0', '0', '0', '0.011213', '0.23126', '0.0069309', '0.014622']"
"['11/1/06', '0.021398', '0', '0.031727', '0.01442', '0.010121', '0.0023088', '0.0044957', '0.044675', '0.36517', '0.0045262', '0', '0.06867', '0.16847', '0', '0', '0', '0.011213', '0.23125', '0.0069309', '0.014622']"
"['11/23/06', '0.021395', '0', '0.031718', '0.014423', '0.01013', '0.0023095', '0.0044954', '0.044667', '0.36506', '0.0045253', '0', '0.068754', '0.16851', '0', '0', '0', '0.011212', '0.23125', '0.0069308', '0.014622']"
"['11/30/06', '0.021394', '0', '0.031715', '0.014424', '0.010133', '0.0023098', '0.0044952', '0.044664', '0.36503', '0.004525', '0', '0.06878', '0.16852', '0', '0', '0', '0.011211', '0.23125', '0.0069308', '0.014622']"
"['12/1/06', '0.021394', '0', '0.031715', '0.014424', '0.010133', '0.0023098', '0.0044952', '0.044664', '0.36502', '0.004525', '0', '0.068784', '0.16852', '0', '0', '0', '0.011211', '0.23125', '0.0069308', '0.014622']"
