"['6/17/06', '0.015997', '0', '0.02345', '0.0095908', '0.0027368', '0.00063364', '0.006455', '0.054166', '0.36261', '0.022776', '0', '0.18193', '0.30574', '0', '0', '0', '0.0043761', '0.0082889', '0.00020485', '0.0010478']"
"['10/12/06', '0.016049', '0', '0.023444', '0.0095857', '0.0027496', '0.00063978', '0.0064472', '0.05414', '0.36244', '0.022771', '0', '0.18195', '0.30586', '0', '0', '0', '0.004379', '0.0082908', '0.00020485', '0.0010498']"
"['10/23/06', '0.016054', '0', '0.023443', '0.0095852', '0.0027508', '0.00064036', '0.0064464', '0.054138', '0.36243', '0.02277', '0', '0.18195', '0.30587', '0', '0', '0', '0.0043793', '0.0082909', '0.00020485', '0.00105']"
"['10/29/06', '0.016057', '0', '0.023443', '0.0095849', '0.0027514', '0.00064068', '0.006446', '0.054137', '0.36242', '0.02277', '0', '0.18195', '0.30588', '0', '0', '0', '0.0043795', '0.008291', '0.00020485', '0.0010501']"
"['11/12/06', '0.016063', '0', '0.023442', '0.0095843', '0.0027529', '0.00064141', '0.0064451', '0.054134', '0.3624', '0.02277', '0', '0.18195', '0.30589', '0', '0', '0', '0.0043798', '0.0082912', '0.00020485', '0.0010503']"
"['11/25/06', '0.016069', '0', '0.023442', '0.0095838', '0.0027544', '0.00064209', '0.0064442', '0.054131', '0.36238', '0.022769', '0', '0.18195', '0.3059', '0', '0', '0', '0.0043802', '0.0082914', '0.00020485', '0.0010506']"
"['1/11/07', '0.01609', '0', '0.023439', '0.0095817', '0.0027595', '0.00064456', '0.0064411', '0.05412', '0.36232', '0.022767', '0', '0.18196', '0.30595', '0', '0', '0', '0.0043814', '0.0082922', '0.00020485', '0.0010514']"
"['3/15/07', '0.016118', '0', '0.023436', '0.009579', '0.0027663', '0.00064787', '0.0064369', '0.054107', '0.36223', '0.022764', '0', '0.18197', '0.30602', '0', '0', '0', '0.004383', '0.0082932', '0.00020485', '0.0010525']"
"['5/5/07', '0.016141', '0', '0.023434', '0.0095768', '0.0027719', '0.00065055', '0.0064334', '0.054096', '0.36216', '0.022762', '0', '0.18197', '0.30607', '0', '0', '0', '0.0043843', '0.008294', '0.00020485', '0.0010534']"
"['5/11/07', '0.016144', '0', '0.023434', '0.0095765', '0.0027725', '0.00065086', '0.006433', '0.054094', '0.36215', '0.022762', '0', '0.18197', '0.30608', '0', '0', '0', '0.0043844', '0.0082941', '0.00020485', '0.0010535']"
"['5/16/07', '0.016146', '0', '0.023433', '0.0095763', '0.0027731', '0.00065112', '0.0064327', '0.054093', '0.36214', '0.022762', '0', '0.18197', '0.30608', '0', '0', '0', '0.0043845', '0.0082941', '0.00020485', '0.0010535']"
"['5/16/07', '0.016146', '0', '0.023433', '0.0095763', '0.0027731', '0.00065112', '0.0064327', '0.054093', '0.36214', '0.022762', '0', '0.18197', '0.30608', '0', '0', '0', '0.0043845', '0.0082941', '0.00020485', '0.0010535']"
"['5/22/07', '0.016149', '0', '0.023433', '0.009576', '0.0027737', '0.00065144', '0.0064323', '0.054092', '0.36213', '0.022762', '0', '0.18197', '0.30609', '0', '0', '0', '0.0043847', '0.0082942', '0.00020485', '0.0010536']"
"['5/23/07', '0.016149', '0', '0.023433', '0.009576', '0.0027738', '0.00065149', '0.0064322', '0.054092', '0.36213', '0.022761', '0', '0.18197', '0.30609', '0', '0', '0', '0.0043847', '0.0082943', '0.00020485', '0.0010537']"
"['5/25/07', '0.01615', '0', '0.023433', '0.0095759', '0.0027741', '0.0006516', '0.0064321', '0.054091', '0.36213', '0.022761', '0', '0.18197', '0.30609', '0', '0', '0', '0.0043848', '0.0082943', '0.00020485', '0.0010537']"
"['5/29/07', '0.016152', '0', '0.023433', '0.0095757', '0.0027745', '0.00065181', '0.0064318', '0.05409', '0.36212', '0.022761', '0', '0.18198', '0.30609', '0', '0', '0', '0.0043849', '0.0082944', '0.00020485', '0.0010538']"
"['5/30/07', '0.016152', '0', '0.023433', '0.0095757', '0.0027746', '0.00065186', '0.0064318', '0.05409', '0.36212', '0.022761', '0', '0.18198', '0.3061', '0', '0', '0', '0.0043849', '0.0082944', '0.00020485', '0.0010538']"
"['6/3/07', '0.016154', '0', '0.023433', '0.0095755', '0.002775', '0.00065207', '0.0064315', '0.054089', '0.36212', '0.022761', '0', '0.18198', '0.3061', '0', '0', '0', '0.004385', '0.0082944', '0.00020485', '0.0010539']"
"['6/7/07', '0.016156', '0', '0.023432', '0.0095754', '0.0027755', '0.00065228', '0.0064312', '0.054088', '0.36211', '0.022761', '0', '0.18198', '0.3061', '0', '0', '0', '0.0043851', '0.0082945', '0.00020485', '0.0010539']"
"['6/11/07', '0.016158', '0', '0.023432', '0.0095752', '0.0027759', '0.00065249', '0.006431', '0.054087', '0.3621', '0.022761', '0', '0.18198', '0.30611', '0', '0', '0', '0.0043852', '0.0082946', '0.00020485', '0.001054']"
"['6/20/07', '0.016162', '0', '0.023432', '0.0095748', '0.0027769', '0.00065296', '0.0064304', '0.054085', '0.36209', '0.02276', '0', '0.18198', '0.30612', '0', '0', '0', '0.0043854', '0.0082947', '0.00020485', '0.0010541']"
"['6/26/07', '0.016164', '0', '0.023431', '0.0095745', '0.0027775', '0.00065328', '0.00643', '0.054084', '0.36208', '0.02276', '0', '0.18198', '0.30612', '0', '0', '0', '0.0043856', '0.0082948', '0.00020485', '0.0010543']"
"['6/26/07', '0.016164', '0', '0.023431', '0.0095745', '0.0027775', '0.00065328', '0.00643', '0.054084', '0.36208', '0.02276', '0', '0.18198', '0.30612', '0', '0', '0', '0.0043856', '0.0082948', '0.00020485', '0.0010543']"
"['6/27/07', '0.016165', '0', '0.023431', '0.0095745', '0.0027776', '0.00065333', '0.0064299', '0.054084', '0.36208', '0.02276', '0', '0.18198', '0.30612', '0', '0', '0', '0.0043856', '0.0082948', '0.00020485', '0.0010543']"
"['6/27/07', '0.016165', '0', '0.023431', '0.0095745', '0.0027776', '0.00065333', '0.0064299', '0.054084', '0.36208', '0.02276', '0', '0.18198', '0.30612', '0', '0', '0', '0.0043856', '0.0082948', '0.00020485', '0.0010543']"
"['6/29/07', '0.016166', '0', '0.023431', '0.0095744', '0.0027779', '0.00065343', '0.0064298', '0.054084', '0.36208', '0.02276', '0', '0.18198', '0.30613', '0', '0', '0', '0.0043857', '0.0082948', '0.00020485', '0.0010543']"
"['7/7/07', '0.016169', '0', '0.023431', '0.009574', '0.0027787', '0.00065386', '0.0064292', '0.054082', '0.36207', '0.02276', '0', '0.18198', '0.30613', '0', '0', '0', '0.0043859', '0.008295', '0.00020485', '0.0010544']"
"['7/14/07', '0.016173', '0', '0.023431', '0.0095737', '0.0027795', '0.00065422', '0.0064287', '0.05408', '0.36206', '0.022759', '0', '0.18198', '0.30614', '0', '0', '0', '0.004386', '0.0082951', '0.00020485', '0.0010546']"
"['7/16/07', '0.016173', '0', '0.02343', '0.0095737', '0.0027797', '0.00065433', '0.0064286', '0.05408', '0.36206', '0.022759', '0', '0.18198', '0.30614', '0', '0', '0', '0.0043861', '0.0082951', '0.00020485', '0.0010546']"
"['7/27/07', '0.016178', '0', '0.02343', '0.0095732', '0.0027809', '0.00065491', '0.0064279', '0.054077', '0.36204', '0.022759', '0', '0.18198', '0.30615', '0', '0', '0', '0.0043864', '0.0082953', '0.00020485', '0.0010548']"
"['8/4/07', '0.016182', '0', '0.02343', '0.0095728', '0.0027818', '0.00065533', '0.0064273', '0.054076', '0.36203', '0.022758', '0', '0.18198', '0.30616', '0', '0', '0', '0.0043866', '0.0082954', '0.00020485', '0.0010549']"
"['8/7/07', '0.016183', '0', '0.023429', '0.0095727', '0.0027821', '0.00065548', '0.0064271', '0.054075', '0.36202', '0.022758', '0', '0.18198', '0.30617', '0', '0', '0', '0.0043867', '0.0082955', '0.00020485', '0.001055']"
"['8/9/07', '0.016184', '0', '0.023429', '0.0095726', '0.0027823', '0.00065559', '0.006427', '0.054075', '0.36202', '0.022758', '0', '0.18198', '0.30617', '0', '0', '0', '0.0043867', '0.0082955', '0.00020485', '0.001055']"
"['8/9/07', '0.016184', '0', '0.023429', '0.0095726', '0.0027823', '0.00065559', '0.006427', '0.054075', '0.36202', '0.022758', '0', '0.18198', '0.30617', '0', '0', '0', '0.0043867', '0.0082955', '0.00020485', '0.001055']"
"['8/12/07', '0.016186', '0', '0.023429', '0.0095725', '0.0027826', '0.00065575', '0.0064268', '0.054074', '0.36202', '0.022758', '0', '0.18199', '0.30617', '0', '0', '0', '0.0043868', '0.0082955', '0.00020485', '0.0010551']"
"['8/19/07', '0.016189', '0', '0.023429', '0.0095722', '0.0027834', '0.00065611', '0.0064263', '0.054072', '0.36201', '0.022758', '0', '0.18199', '0.30618', '0', '0', '0', '0.004387', '0.0082956', '0.00020485', '0.0010552']"
"['8/28/07', '0.016193', '0', '0.023428', '0.0095718', '0.0027844', '0.00065659', '0.0064257', '0.05407', '0.362', '0.022757', '0', '0.18199', '0.30619', '0', '0', '0', '0.0043872', '0.0082958', '0.00020485', '0.0010553']"
"['9/1/07', '0.016194', '0', '0.023428', '0.0095716', '0.0027848', '0.0006568', '0.0064255', '0.05407', '0.36199', '0.022757', '0', '0.18199', '0.30619', '0', '0', '0', '0.0043873', '0.0082958', '0.00020485', '0.0010554']"
"['9/2/07', '0.016195', '0', '0.023428', '0.0095716', '0.0027849', '0.00065685', '0.0064254', '0.054069', '0.36199', '0.022757', '0', '0.18199', '0.30619', '0', '0', '0', '0.0043873', '0.0082959', '0.00020485', '0.0010554']"
"['9/22/07', '0.016204', '0', '0.023427', '0.0095707', '0.0027871', '0.0006579', '0.0064241', '0.054065', '0.36196', '0.022756', '0', '0.18199', '0.30621', '0', '0', '0', '0.0043878', '0.0082962', '0.00020485', '0.0010558']"
"['10/17/07', '0.016215', '0', '0.023426', '0.0095696', '0.0027898', '0.00065921', '0.0064224', '0.054059', '0.36193', '0.022755', '0', '0.18199', '0.30624', '0', '0', '0', '0.0043885', '0.0082966', '0.00020485', '0.0010562']"
"['10/21/07', '0.016217', '0', '0.023426', '0.0095694', '0.0027903', '0.00065942', '0.0064221', '0.054059', '0.36192', '0.022755', '0', '0.18199', '0.30624', '0', '0', '0', '0.0043886', '0.0082966', '0.00020485', '0.0010563']"
"['10/23/07', '0.016218', '0', '0.023426', '0.0095694', '0.0027905', '0.00065953', '0.006422', '0.054058', '0.36192', '0.022755', '0', '0.18199', '0.30624', '0', '0', '0', '0.0043886', '0.0082967', '0.00020485', '0.0010563']"
"['10/25/07', '0.016219', '0', '0.023426', '0.0095693', '0.0027907', '0.00065963', '0.0064218', '0.054058', '0.36191', '0.022755', '0', '0.18199', '0.30625', '0', '0', '0', '0.0043887', '0.0082967', '0.00020485', '0.0010563']"
"['11/12/07', '0.016227', '0', '0.023425', '0.0095685', '0.0027927', '0.00066058', '0.0064206', '0.054054', '0.36189', '0.022754', '0', '0.182', '0.30626', '0', '0', '0', '0.0043891', '0.008297', '0.00020485', '0.0010567']"
"['11/21/07', '0.016231', '0', '0.023424', '0.0095681', '0.0027936', '0.00066105', '0.00642', '0.054052', '0.36188', '0.022754', '0', '0.182', '0.30627', '0', '0', '0', '0.0043894', '0.0082971', '0.00020485', '0.0010568']"
"['11/25/07', '0.016233', '0', '0.023424', '0.0095679', '0.0027941', '0.00066126', '0.0064198', '0.054051', '0.36187', '0.022754', '0', '0.182', '0.30628', '0', '0', '0', '0.0043895', '0.0082972', '0.00020485', '0.0010569']"
"['11/28/07', '0.016234', '0', '0.023424', '0.0095678', '0.0027944', '0.00066142', '0.0064196', '0.05405', '0.36187', '0.022754', '0', '0.182', '0.30628', '0', '0', '0', '0.0043895', '0.0082972', '0.00020485', '0.0010569']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/14/08', '0.016296', '0', '0.023417', '0.0095618', '0.0028094', '0.00066866', '0.0064103', '0.05402', '0.36167', '0.022748', '0', '0.18202', '0.30642', '0', '0', '0', '0.004393', '0.0082994', '0.00020485', '0.0010593']"
"['4/18/08', '0.016298', '0', '0.023417', '0.0095616', '0.0028098', '0.00066887', '0.0064101', '0.054019', '0.36167', '0.022748', '0', '0.18202', '0.30643', '0', '0', '0', '0.0043931', '0.0082995', '0.00020485', '0.0010594']"
"['4/26/08', '0.016301', '0', '0.023417', '0.0095613', '0.0028107', '0.00066929', '0.0064095', '0.054017', '0.36166', '0.022747', '0', '0.18202', '0.30643', '0', '0', '0', '0.0043933', '0.0082996', '0.00020485', '0.0010595']"
"['5/8/08', '0.016307', '0', '0.023416', '0.0095608', '0.002812', '0.00066992', '0.0064087', '0.054015', '0.36164', '0.022747', '0', '0.18202', '0.30645', '0', '0', '0', '0.0043937', '0.0082998', '0.00020485', '0.0010597']"
"['5/10/08', '0.016307', '0', '0.023416', '0.0095607', '0.0028122', '0.00067003', '0.0064086', '0.054014', '0.36164', '0.022747', '0', '0.18202', '0.30645', '0', '0', '0', '0.0043937', '0.0082998', '0.00020485', '0.0010598']"
"['5/21/08', '0.016312', '0', '0.023415', '0.0095602', '0.0028134', '0.0006706', '0.0064079', '0.054012', '0.36162', '0.022746', '0', '0.18202', '0.30646', '0', '0', '0', '0.004394', '0.0083', '0.00020485', '0.00106']"
"['5/21/08', '0.016312', '0', '0.023415', '0.0095602', '0.0028134', '0.0006706', '0.0064079', '0.054012', '0.36162', '0.022746', '0', '0.18202', '0.30646', '0', '0', '0', '0.004394', '0.0083', '0.00020485', '0.00106']"
"['6/2/08', '0.016318', '0', '0.023415', '0.0095597', '0.0028147', '0.00067123', '0.006407', '0.054009', '0.3616', '0.022746', '0', '0.18202', '0.30647', '0', '0', '0', '0.0043943', '0.0083002', '0.00020485', '0.0010602']"
"['6/13/08', '0.016323', '0', '0.023414', '0.0095592', '0.0028159', '0.00067181', '0.0064063', '0.054007', '0.36159', '0.022745', '0', '0.18203', '0.30648', '0', '0', '0', '0.0043946', '0.0083003', '0.00020485', '0.0010604']"
"['6/14/08', '0.016323', '0', '0.023414', '0.0095592', '0.002816', '0.00067186', '0.0064062', '0.054007', '0.36159', '0.022745', '0', '0.18203', '0.30648', '0', '0', '0', '0.0043946', '0.0083004', '0.00020485', '0.0010604']"
"['6/14/08', '0.016323', '0', '0.023414', '0.0095592', '0.002816', '0.00067186', '0.0064062', '0.054007', '0.36159', '0.022745', '0', '0.18203', '0.30648', '0', '0', '0', '0.0043946', '0.0083004', '0.00020485', '0.0010604']"
"['6/18/08', '0.016325', '0', '0.023414', '0.009559', '0.0028165', '0.00067207', '0.006406', '0.054006', '0.36158', '0.022745', '0', '0.18203', '0.30649', '0', '0', '0', '0.0043947', '0.0083004', '0.00020485', '0.0010604']"
"['6/21/08', '0.016326', '0', '0.023414', '0.0095589', '0.0028168', '0.00067223', '0.0064058', '0.054005', '0.36158', '0.022745', '0', '0.18203', '0.30649', '0', '0', '0', '0.0043948', '0.0083005', '0.00020485', '0.0010605']"
"['7/21/08', '0.01634', '0', '0.023413', '0.0095576', '0.0028201', '0.00067381', '0.0064038', '0.053999', '0.36154', '0.022744', '0', '0.18203', '0.30652', '0', '0', '0', '0.0043955', '0.0083009', '0.00020485', '0.001061']"
"['7/23/08', '0.016341', '0', '0.023412', '0.0095575', '0.0028203', '0.00067391', '0.0064036', '0.053998', '0.36153', '0.022743', '0', '0.18203', '0.30652', '0', '0', '0', '0.0043956', '0.008301', '0.00020485', '0.001061']"
"['8/1/08', '0.016345', '0', '0.023412', '0.0095571', '0.0028213', '0.00067439', '0.006403', '0.053996', '0.36152', '0.022743', '0', '0.18203', '0.30653', '0', '0', '0', '0.0043958', '0.0083011', '0.00020485', '0.0010612']"
"['8/14/08', '0.016351', '0', '0.023411', '0.0095565', '0.0028227', '0.00067507', '0.0064022', '0.053993', '0.3615', '0.022743', '0', '0.18203', '0.30655', '0', '0', '0', '0.0043962', '0.0083013', '0.00020485', '0.0010614']"
"['8/14/08', '0.016351', '0', '0.023411', '0.0095565', '0.0028227', '0.00067507', '0.0064022', '0.053993', '0.3615', '0.022743', '0', '0.18203', '0.30655', '0', '0', '0', '0.0043962', '0.0083013', '0.00020485', '0.0010614']"
"['8/19/08', '0.016353', '0', '0.023411', '0.0095563', '0.0028232', '0.00067533', '0.0064018', '0.053992', '0.36149', '0.022742', '0', '0.18203', '0.30655', '0', '0', '0', '0.0043963', '0.0083014', '0.00020485', '0.0010615']"
"['8/26/08', '0.016356', '0', '0.023411', '0.009556', '0.002824', '0.0006757', '0.0064014', '0.053991', '0.36149', '0.022742', '0', '0.18203', '0.30656', '0', '0', '0', '0.0043965', '0.0083015', '0.00020485', '0.0010616']"
"['8/27/08', '0.016356', '0', '0.023411', '0.009556', '0.0028241', '0.00067575', '0.0064013', '0.053991', '0.36148', '0.022742', '0', '0.18203', '0.30656', '0', '0', '0', '0.0043965', '0.0083015', '0.00020485', '0.0010617']"
"['10/9/08', '0.016376', '0', '0.023409', '0.0095541', '0.0028288', '0.00067801', '0.0063984', '0.053981', '0.36142', '0.02274', '0', '0.18204', '0.3066', '0', '0', '0', '0.0043976', '0.0083022', '0.00020485', '0.0010624']"
"['10/18/08', '0.01638', '0', '0.023408', '0.0095537', '0.0028297', '0.00067848', '0.0063978', '0.053979', '0.36141', '0.02274', '0', '0.18204', '0.30661', '0', '0', '0', '0.0043978', '0.0083023', '0.00020485', '0.0010626']"
"['1/17/09', '0.01642', '0', '0.023404', '0.0095498', '0.0028396', '0.00068326', '0.0063917', '0.053959', '0.36128', '0.022736', '0', '0.18205', '0.30671', '0', '0', '0', '0.0044001', '0.0083038', '0.00020485', '0.0010641']"
"['3/18/09', '0.016447', '0', '0.023401', '0.0095471', '0.0028462', '0.00068641', '0.0063877', '0.053946', '0.3612', '0.022733', '0', '0.18206', '0.30677', '0', '0', '0', '0.0044017', '0.0083047', '0.00020485', '0.0010652']"
"['3/29/09', '0.016452', '0', '0.0234', '0.0095467', '0.0028474', '0.00068699', '0.006387', '0.053944', '0.36118', '0.022733', '0', '0.18206', '0.30678', '0', '0', '0', '0.0044019', '0.0083049', '0.00020485', '0.0010654']"
"['4/3/09', '0.016455', '0', '0.0234', '0.0095465', '0.0028479', '0.00068725', '0.0063866', '0.053943', '0.36118', '0.022733', '0', '0.18206', '0.30678', '0', '0', '0', '0.0044021', '0.008305', '0.00020485', '0.0010654']"
"['4/12/09', '0.016459', '0', '0.0234', '0.0095461', '0.0028489', '0.00068772', '0.006386', '0.053941', '0.36116', '0.022732', '0', '0.18206', '0.30679', '0', '0', '0', '0.0044023', '0.0083051', '0.00020485', '0.0010656']"
"['4/22/09', '0.016463', '0', '0.023399', '0.0095456', '0.00285', '0.00068825', '0.0063854', '0.053938', '0.36115', '0.022732', '0', '0.18207', '0.3068', '0', '0', '0', '0.0044025', '0.0083053', '0.00020485', '0.0010658']"
"['5/21/09', '0.016476', '0', '0.023398', '0.0095444', '0.0028531', '0.00068977', '0.0063834', '0.053932', '0.36111', '0.022731', '0', '0.18207', '0.30683', '0', '0', '0', '0.0044033', '0.0083057', '0.00020485', '0.0010663']"
"['5/24/09', '0.016477', '0', '0.023398', '0.0095442', '0.0028535', '0.00068993', '0.0063832', '0.053931', '0.36111', '0.022731', '0', '0.18207', '0.30684', '0', '0', '0', '0.0044034', '0.0083058', '0.00020485', '0.0010663']"
"['5/25/09', '0.016478', '0', '0.023398', '0.0095442', '0.0028536', '0.00068998', '0.0063831', '0.053931', '0.3611', '0.022731', '0', '0.18207', '0.30684', '0', '0', '0', '0.0044034', '0.0083058', '0.00020485', '0.0010663']"
"['6/25/09', '0.016492', '0', '0.023396', '0.0095429', '0.0028569', '0.00069161', '0.0063811', '0.053924', '0.36106', '0.022729', '0', '0.18207', '0.30687', '0', '0', '0', '0.0044042', '0.0083063', '0.00020485', '0.0010669']"
"['6/28/09', '0.016493', '0', '0.023396', '0.0095427', '0.0028573', '0.00069177', '0.0063809', '0.053924', '0.36106', '0.022729', '0', '0.18207', '0.30687', '0', '0', '0', '0.0044042', '0.0083063', '0.00020485', '0.0010669']"
"['7/2/09', '0.016495', '0', '0.023396', '0.0095425', '0.0028577', '0.00069198', '0.0063806', '0.053923', '0.36105', '0.022729', '0', '0.18208', '0.30688', '0', '0', '0', '0.0044044', '0.0083064', '0.00020485', '0.001067']"
"['7/9/09', '0.016498', '0', '0.023395', '0.0095422', '0.0028585', '0.00069234', '0.0063801', '0.053921', '0.36104', '0.022729', '0', '0.18208', '0.30688', '0', '0', '0', '0.0044045', '0.0083065', '0.00020485', '0.0010671']"
"['7/13/09', '0.0165', '0', '0.023395', '0.0095421', '0.0028589', '0.00069255', '0.0063799', '0.05392', '0.36104', '0.022729', '0', '0.18208', '0.30689', '0', '0', '0', '0.0044046', '0.0083066', '0.00020485', '0.0010672']"
